#automap RITHMIC
Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,DIAMETER, DRAW_NOTE_PRICE_HORIZONTAL_LINE
NQH6.CME@RITHMIC,25692.5,INST1 25692.5-25696.5 L,#FFFFFF,#1E90FF,left,1,TRUE
NQH6.CME@RITHMIC,25694.5,INST1 25692.5-25696.5 M,#FFFFFF,#1E90FF,left,1,TRUE
NQH6.CME@RITHMIC,25696.5,INST1 25692.5-25696.5 H,#FFFFFF,#1E90FF,left,1,TRUE
NQH6.CME@RITHMIC,25739.25,INST1 25739.25-25743.25 L,#FFFFFF,#1E90FF,left,1,TRUE
NQH6.CME@RITHMIC,25741.25,INST1 25739.25-25743.25 M,#FFFFFF,#1E90FF,left,1,TRUE
NQH6.CME@RITHMIC,25743.25,INST1 25739.25-25743.25 H,#FFFFFF,#1E90FF,left,1,TRUE
NQH6.CME@RITHMIC,25794.5,INST1 25794.5-25798.5 L,#FFFFFF,#1E90FF,left,1,TRUE
NQH6.CME@RITHMIC,25796.5,INST1 25794.5-25798.5 M,#FFFFFF,#1E90FF,left,1,TRUE
NQH6.CME@RITHMIC,25798.5,INST1 25794.5-25798.5 H,#FFFFFF,#1E90FF,left,1,TRUE
NQH6.CME@RITHMIC,25800,INST1 25800-25804 L,#FFFFFF,#1E90FF,left,1,TRUE
NQH6.CME@RITHMIC,25802,INST1 25800-25804 M,#FFFFFF,#1E90FF,left,1,TRUE
NQH6.CME@RITHMIC,25804,INST1 25800-25804 H,#FFFFFF,#1E90FF,left,1,TRUE
NQH6.CME@RITHMIC,25872.25,INST1 25872.25-25876.25 L,#FFFFFF,#1E90FF,left,1,TRUE
NQH6.CME@RITHMIC,25874.25,INST1 25872.25-25876.25 M,#FFFFFF,#1E90FF,left,1,TRUE
NQH6.CME@RITHMIC,25876.25,INST1 25872.25-25876.25 H,#FFFFFF,#1E90FF,left,1,TRUE
NQH6.CME@RITHMIC,26100,INST1 26100-26104 L,#FFFFFF,#1E90FF,left,1,TRUE
NQH6.CME@RITHMIC,26102,INST1 26100-26104 M,#FFFFFF,#1E90FF,left,1,TRUE
NQH6.CME@RITHMIC,26104,INST1 26100-26104 H,#FFFFFF,#1E90FF,left,1,TRUE
NQH6.CME@RITHMIC,26146.75,INST1 26146.75-26150.75 L,#FFFFFF,#1E90FF,left,1,TRUE
NQH6.CME@RITHMIC,26148.75,INST1 26146.75-26150.75 M,#FFFFFF,#1E90FF,left,1,TRUE
NQH6.CME@RITHMIC,26150.75,INST1 26146.75-26150.75 H,#FFFFFF,#1E90FF,left,1,TRUE
NQH6.CME@RITHMIC,26227.5,INST1 26227.5-26231.5 L,#FFFFFF,#1E90FF,left,1,TRUE
NQH6.CME@RITHMIC,26229.5,INST1 26227.5-26231.5 M,#FFFFFF,#1E90FF,left,1,TRUE
NQH6.CME@RITHMIC,26231.5,INST1 26227.5-26231.5 H,#FFFFFF,#1E90FF,left,1,TRUE
NQH6.CME@RITHMIC,25650,INST2 25650-25654 L,#FFFFFF,#00CED1,left,1,TRUE
NQH6.CME@RITHMIC,25652,INST2 25650-25654 M,#FFFFFF,#00CED1,left,1,TRUE
NQH6.CME@RITHMIC,25654,INST2 25650-25654 H,#FFFFFF,#00CED1,left,1,TRUE
NQH6.CME@RITHMIC,25696.75,INST2 25696.75-25700.75 L,#FFFFFF,#00CED1,left,1,TRUE
NQH6.CME@RITHMIC,25698.75,INST2 25696.75-25700.75 M,#FFFFFF,#00CED1,left,1,TRUE
NQH6.CME@RITHMIC,25700.75,INST2 25696.75-25700.75 H,#FFFFFF,#00CED1,left,1,TRUE
NQH6.CME@RITHMIC,25752,INST2 25752-25756 L,#FFFFFF,#00CED1,left,1,TRUE
NQH6.CME@RITHMIC,25754,INST2 25752-25756 M,#FFFFFF,#00CED1,left,1,TRUE
NQH6.CME@RITHMIC,25756,INST2 25752-25756 H,#FFFFFF,#00CED1,left,1,TRUE
NQH6.CME@RITHMIC,25798.5,INST2 25798.5-25800.5 L,#FFFFFF,#00CED1,left,1,TRUE
NQH6.CME@RITHMIC,25799.5,INST2 25798.5-25800.5 M,#FFFFFF,#00CED1,left,1,TRUE
NQH6.CME@RITHMIC,25800.5,INST2 25798.5-25800.5 H,#FFFFFF,#00CED1,left,1,TRUE
NQH6.CME@RITHMIC,25804.25,INST2 25804.25-25808.25 L,#FFFFFF,#00CED1,left,1,TRUE
NQH6.CME@RITHMIC,25806.25,INST2 25804.25-25808.25 M,#FFFFFF,#00CED1,left,1,TRUE
NQH6.CME@RITHMIC,25808.25,INST2 25804.25-25808.25 H,#FFFFFF,#00CED1,left,1,TRUE
NQH6.CME@RITHMIC,25855.25,INST2 25855.25-25859.25 L,#FFFFFF,#00CED1,left,1,TRUE
NQH6.CME@RITHMIC,25857.25,INST2 25855.25-25859.25 M,#FFFFFF,#00CED1,left,1,TRUE
NQH6.CME@RITHMIC,25859.25,INST2 25855.25-25859.25 H,#FFFFFF,#00CED1,left,1,TRUE
